,Niveau 1,Niveau 2,Niveau 3,Niveau 4,NAC
279,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Protection des majeurs,18F
280,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Protection des majeurs,16N
281,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Protection des majeurs,16M
282,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48C
283,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,Contentieux de l’inscription au FICP
284,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48F
285,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48M
286,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48O
287,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48P
288,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48Q
289,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48A
290,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48H
291,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48B
292,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48L
293,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48N
294,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,??
295,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48J
296,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48K
297,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48G
298,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Surendettement des particuliers,48R
299,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51A
300,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51C
301,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51B
302,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,70C
303,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51D
304,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51Z
305,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51H
306,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51E
307,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51G
308,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51F
309,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51I
310,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51M
311,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51K
312,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51L
313,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,51J
319,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,53B
320,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,53F
321,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,53I
322,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,53D
323,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,53J
324,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,53A
325,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,53H
326,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,53L
327,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,53E
328,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,Ordonnances de suspension des obligations de l’emprunteur (L. 312-40 c. conso)
332,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,Injonctions de faire
333,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Hors surendettement,Baux ruraux (TPBR)
334,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Référés,Référés
335,Contentieux civils et sociaux,Siège spécialisé,Contentieux de la Protection,Autres contentieux de la protection,Autres contentieux de la protection
336,Contentieux civils et sociaux,Siège spécialisé,JLD civil,Rétention des étrangers,14G
337,Contentieux civils et sociaux,Siège spécialisé,JLD civil,Rétention des étrangers,14H
338,Contentieux civils et sociaux,Siège spécialisé,JLD civil,Hospitalisations sous contrainte,14C
339,Contentieux civils et sociaux,Siège spécialisé,JLD civil,Hospitalisations sous contrainte,14I
340,Contentieux civils et sociaux,Siège spécialisé,JLD civil,Hospitalisations sous contrainte,14J
341,Contentieux civils et sociaux,Siège spécialisé,JLD civil,Hospitalisations sous contrainte,14K
342,Contentieux civils et sociaux,Siège spécialisé,JLD civil,Hospitalisations sous contrainte,14L
343,Contentieux civils et sociaux,Siège spécialisé,JLD civil,Hospitalisations sous contrainte,Saisines sur mesures de contention et de mise à l’isolement
344,Contentieux civils et sociaux,Siège spécialisé,JLD civil,Autres JLD civil,Contentieux de la quarantaine
345,Contentieux civils et sociaux,Siège spécialisé,JLD civil,Autres JLD civil,Visites domiciliaires
346,Contentieux civils et sociaux,Siège spécialisé,Juges des Enfants,Activité civile,AE
347,Contentieux civils et sociaux,Siège spécialisé,Juges des Enfants,Activité civile,MAGBF
348,Affaires pénales,Siège spécialisé,Juges des Enfants,Activité pénale, mesures pré-sententielles
349,Affaires pénales,Siège spécialisé,Juges des Enfants,Activité pénale,tribunal pour enfants
350,Affaires pénales,Siège spécialisé,Juges des Enfants,Activité pénale,chambre du conseil
351,Affaires pénales,Siège spécialisé,Juges des Enfants,Activité pénale,en milieu ouvert
352,Affaires pénales,Siège spécialisé,Juges des Enfants,Activité pénale,en milieu fermé
353,Affaires pénales,Siège spécialisé,Juges d'Instruction,Service général,Service général
354,Affaires pénales,Siège spécialisé,Juges d'Instruction,JIRS éco-fi,JIRS éco-fi
355,Affaires pénales,Siège spécialisé,Juges d'Instruction,JIRS crim-org,JIRS crim-org
356,Affaires pénales,Siège spécialisé,Juges d'Instruction,Sections spécialisées,Sections spécialisées
357,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,SME
358,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,STIG et TIG
359,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,Jours-amendes
360,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,Placements extérieurs
361,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,Semi-libertés
362,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,Article 723-15 du CPP
363,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,PSEM
364,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,SSJ
365,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,PSE
366,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,Interdictions de séjour
367,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,Surveillances judiciaires ou de sûreté
368,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,Libérations conditionnelles
369,Affaires pénales,Siège spécialisé,JAP,Milieu ouvert,Contraintes pénales
370,Affaires pénales,Siège spécialisé,JAP,Milieu fermé,Libérations sous contrainte
371,Affaires pénales,Siège spécialisé,JAP,Milieu fermé,"Débats contradictoire, et hors débats contradictoire milieu fermé"
372,Affaires pénales,Siège spécialisé,JAP,Ordonnances hors CAP,Ordonnances hors CAP
373,Affaires pénales,Siège spécialisé,JAP,Autres JAP,Autres JAP
374,Affaires pénales,Siège spécialisé,JLD pénal,JLD pénal,JLD pénal
375,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Tribunal correctionnel,Eco-fi
376,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Tribunal correctionnel,Crim-org
377,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Tribunal correctionnel,Contentieux général
379,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Tribunal correctionnel,Autres sections spécialisées
381,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Tribunal correctionnel,Contentieux routier
382,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Tribunal correctionnel,Audience de comparution immédiate
383,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Tribunal correctionnel,Audience CPPV
384,Affaires pénales,Siège Non Spécialisé,Siège Pénal,CRPC,CRPC
385,Affaires pénales,Siège Non Spécialisé,Siège Pénal,OP correctionnelle,OP correctionnelle
386,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Composition pénale,Composition pénale
387,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Cour d'assises,Cour d'assises
388,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Tribunal de police,4ème classe
389,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Tribunal de police,5ème classe
390,Affaires pénales,Siège Non Spécialisé,Siège Pénal,OP contraventionnelles,OP contraventionnelles
391,Affaires pénales,Siège Non Spécialisé,Siège Pénal,Autres siège pénal,Autres siège pénal
392,Autres activités,Activités de soutien,Soutien,Activités non juridictionnelles (DDG),Activités non juridictionnelles (DDG)
393,Autres activités,Activités de soutien,Soutien,Formations suivies,Formations suivies
394,Autres activités,Activités de soutien,Soutien,Formations dispensées,Formations dispensées
395,Autres activités,Activités de soutien,Soutien,Accès au droit,Accès au droit
396,Autres activités,Activités de soutien,Soutien,CSM,CSM
397,Autres activités,Activités de soutien,Soutien,Autres activités de soutien,Autres activités de soutien
398,Autres activités,Indisponibilités temporaires et partielles,Indisponibilité,Décharge syndicale,Décharge syndicale
399,Autres activités,Indisponibilités temporaires et partielles,Indisponibilité,CET,CET
400,Autres activités,Indisponibilités temporaires et partielles,Indisponibilité,CLM,CLM
401,Autres activités,Indisponibilités temporaires et partielles,Indisponibilité,TPT,TPT
402,Autres activités,Indisponibilités temporaires et partielles,Indisponibilité,MàD,MàD
403,Autres activités,Indisponibilités temporaires et partielles,Indisponibilité,ASA COVID,ASA COVID
404,Autres activités,Indisponibilités temporaires et partielles,Indisponibilité,Autres indisponibilités,Autres indisponibilités
